frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
60,P,0,0,0,30,40.1242,41.5146,40.0699,33928
60,P,0,1,0,29,41.2823,42.3512,41.2138,27584
60,P,0,2,0,26,44.2048,45.1664,45.2736,64416
58,P,1,0,0,33,39.0951,39.3155,37.8824,9208
58,P,1,1,0,32,39.4915,40.6449,38.954,13656
58,P,1,2,0,29,41.6733,42.756,42.6974,36312
57,P,2,0,0,34,38.6268,38.777,37.4944,6456
57,P,2,1,0,33,39.1455,39.6773,38.7455,7696
57,P,2,2,0,30,41.0591,41.7855,41.1717,18272
59,P,2,0,0,34,38.8155,38.4819,37.5364,5464
59,P,2,1,0,33,38.9685,39.3993,38.4493,7520
59,P,2,2,0,30,40.7043,41.2802,40.5048,18040
64,P,0,0,0,30,39.8406,40.8628,39.1637,31272
64,P,0,1,0,29,41.095,41.7737,40.8778,31224
64,P,0,2,0,26,44.0491,44.9149,44.7254,65600
62,P,1,0,0,33,39.1988,38.9303,37.6936,9336
62,P,1,1,0,32,39.4534,39.7178,38.937,14648
62,P,1,2,0,29,41.6878,42.3699,42.2714,38896
61,P,2,0,0,34,38.9089,38.3521,37.2184,6264
61,P,2,1,0,33,38.585,39.2133,38.1111,8616
61,P,2,2,0,30,40.4458,41.1517,40.6977,19800
63,P,2,0,0,34,38.7651,37.7939,36.9078,5664
63,P,2,1,0,33,38.5148,39.4263,38.0228,9024
63,P,2,2,0,30,40.0852,41.239,40.6662,24560
68,P,0,0,0,30,39.7559,41.4029,39.7937,34448
68,P,0,1,0,29,40.8775,41.9806,40.671,35088
68,P,0,2,0,26,43.8967,44.7408,44.5436,67848
66,P,1,0,0,33,39.2991,38.7779,37.7086,9152
66,P,1,1,0,32,39.5098,39.587,38.7993,14040
66,P,1,2,0,29,41.6067,41.8258,41.9542,35712
65,P,2,0,0,34,38.5016,38.2315,36.8414,6736
65,P,2,1,0,33,38.3887,38.9269,37.6302,8976
65,P,2,2,0,30,40.1501,41.1406,40.0706,23144
67,P,2,0,0,34,38.5142,38.7142,36.7616,5256
67,P,2,1,0,33,38.2656,39.223,37.8092,8360
67,P,2,2,0,30,40.0902,40.9406,40.2791,21936
72,P,0,0,0,30,39.7701,40.6292,39.3838,35176
72,P,0,1,0,29,40.7634,41.5262,40.4691,30904
72,P,0,2,0,26,43.7855,44.935,44.506,70928
70,P,1,0,0,33,38.7382,38.6914,37.2699,8832
70,P,1,1,0,32,38.9691,39.6236,38.2726,15328
70,P,1,2,0,29,41.2837,42.0535,41.7199,38632
69,P,2,0,0,34,38.5312,38.3294,36.9108,5288
69,P,2,1,0,33,38.195,39.2911,37.692,9272
69,P,2,2,0,30,39.9309,41.0817,40.07,23568
71,P,2,0,0,34,38.4535,37.5229,36.4893,5456
71,P,2,1,0,33,38.3786,38.8053,37.5914,8744
71,P,2,2,0,30,39.9313,40.8995,40.0422,24808
